Reading training examples...done
Iter 1: +++++++++.........:*(NumConst=1, SV=1, CEps=4.4476, QPEps=0.0000)
Iter 2: +++++++++:*(NumConst=2, SV=1, CEps=0.6091, QPEps=0.0000)
Iter 3: +++++++++.........:*(NumConst=3, SV=2, CEps=6.4616, QPEps=0.0000)
Iter 4: +++++++++:*(NumConst=4, SV=2, CEps=0.6659, QPEps=0.0001)
Iter 5: +++++++++.........:*(NumConst=5, SV=3, CEps=7.1482, QPEps=0.0001)
Iter 6: +++++++++:*(NumConst=6, SV=3, CEps=0.8093, QPEps=0.0001)
Iter 7: +++++++++.........:*(NumConst=7, SV=4, CEps=8.2450, QPEps=0.0003)
Iter 8: +++++++++:*(NumConst=8, SV=4, CEps=0.8537, QPEps=0.0004)
Iter 9: +++++++++:*(NumConst=9, SV=4, CEps=0.5669, QPEps=0.0001)
Iter 10: +++++++++.........:*(NumConst=10, SV=5, CEps=11.3808, QPEps=0.0001)
Iter 11: +++++++++:*(NumConst=11, SV=5, CEps=0.8255, QPEps=0.0006)
Iter 12: +++++++++:*(NumConst=12, SV=6, CEps=0.5075, QPEps=0.1966)
Iter 13: +++++++++.........:*(NumConst=13, SV=7, CEps=13.8334, QPEps=0.0002)
Iter 14: +++++++++:*(NumConst=14, SV=7, CEps=0.8694, QPEps=0.0000)
Iter 15: +++++++++:*(NumConst=15, SV=7, CEps=0.5644, QPEps=0.0000)
Iter 16: +++++++++:*(NumConst=16, SV=6, CEps=0.5474, QPEps=0.1443)
Iter 17: +++++++++.........:*(NumConst=17, SV=10, CEps=15.6189, QPEps=0.6539)
Iter 18: +++++++++:*(NumConst=18, SV=8, CEps=1.0936, QPEps=0.0000)
Iter 19: +++++++++:*(NumConst=19, SV=8, CEps=0.5463, QPEps=0.0000)
Iter 20: +++++++++.........:*(NumConst=20, SV=9, CEps=13.6796, QPEps=0.4152)
Iter 21: +++++++++:*(NumConst=21, SV=8, CEps=1.0074, QPEps=0.0000)
